id,rle_mask
875d5cbd51,69 33 169 34 270 34 371 34 472 34 573 34 673 35 774 35 874 36 974 37 1075 37 1175 38 1275 39 1375 40 1474 42 1573 44 1672 46 1772 47 1872 48 1972 49 2072 50 2173 50 2273 51 2374 51 2474 52 2574 53 2674 54 2774 55 2874 56 2974 57 3074 58 3174 59 3274 60 3375 60 3476 60 3577 60 3678 60 3779 60 3881 59 3982 59 4083 59 4184 59 4284 60 4384 61 4484 62 4584 63 4683 65 4783 66 4882 68 4981 70 5081 71 5181 72 5281 73 5381 74 5481 75 5582 75 5682 76 5782 77 5882 78 5983 78 6083 79 6184 79 6285 79 6386 79 6487 79 6587 80 6688 80 6789 80 6891 79 6992 79 7093 79 7194 79 7295 79 7396 79 7496 80 7597 80 7697 81 7798 81 7899 81 7999 82 8100 82 8201 82 8302 82 8402 83 8503 83 8604 83 8705 83 8805 84 8906 84 9007 84 9107 85 9207 86 9308 86 9408 87 9509 87 9609 88 9710 88 9810 89 9911 89 10011 90 10112 90
875e1a2d73,3534 2 3633 4 3732 6 3831 8 3930 10 4030 11 4129 13 4228 15 4327 17 4426 19 4525 21 4624 23 4722 26 4821 28 4920 30 5020 31 5120 32 5220 33 5320 34 5420 35 5521 35 5621 36 5721 37 5820 39 5920 40 6020 41 6119 43 6218 45 6318 46 6418 47 6517 49 6616 51 6715 53 6814 55 6913 57 7012 59 7112 60 7212 61 7312 62 7411 64 7511 65 7611 66 7710 68 7810 69 7909 71 8008 73 8108 74 8208 75 8307 77 8407 78 8507 79 8607 80 8707 81 8807 82 8907 83 9008 83 9108 84 9209 84 9310 84 9411 84 9512 84 9613 84 9714 84 9814 85 9915 85 10016 85 10117 85
875fa958c8,
8767e6755c,1 65 102 66 203 68 304 71 405 73 506 75 607 78 708 81 809 83 910 85 1011 87 1112 90 1213 92 1314 94 1415 96 1516 97 1617 98 1718 100 1819 8383
876a7537a1,23 79 124 79 225 79 327 78 429 77 531 76 632 76 734 75 835 75 936 75 1037 75 1139 74 1241 73 1345 70 1449 67 1554 63 1659 59 1763 56 1866 54 1968 53 2070 52 2172 51 2273 51 2374 51 2476 50 2577 50 2678 50 2779 50 2881 49 2983 48 3085 47 3187 46 3289 45 3392 43 3494 42 3597 40 3699 39 3801 38 3902 38 4004 37 4105 37 4207 36 4308 36 4410 35 4512 34 4614 33 4716 32 4817 32 4920 30 5022 29 5124 28 5226 27 5328 26 5429 26 5530 26 5632 25 5733 25 5834 25 5936 24 6037 24 6138 24 6240 23 6341 23 6442 23 6543 23 6644 23 6745 23 6846 23 6946 24 7047 24 7147 25 7248 25 7349 25 7449 26 7550 26 7652 25 7753 25 7856 23 7959 21 8061 20 8163 19 8265 18 8367 17 8469 16 8571 15 8673 14 8774 14 8876 13 8978 12 9080 11 9182 10 9283 10 9385 9 9486 9 9588 8 9688 9 9789 9 9890 9 9991 9 10092 9 10193 9
876dd03fbb,1 909 911 100 1013 99 1116 97 1218 96 1320 95 1423 93 1525 92 1627 91 1730 89 1832 88 1934 87 2037 85 2139 84 2241 83 2344 81 2446 80 2549 78 2652 76 2754 75 2855 75 2957 74 3058 74 3159 74 3261 73 3363 72 3465 71 3567 70 3669 69 3771 68 3873 67 3975 66 4077 65 4179 64 4281 63 4384 61 4487 59 4590 57 4693 55 4795 54 4897 53 4999 52 5102 50 5204 49 5306 48 5408 47 5510 46 5612 45 5714 44 5817 42 5920 40 6023 38 6126 36 6228 35 6330 34 6432 33 6535 31 6637 30 6739 29 6842 27 6947 8 6961 9 7067 4 7171 1
877343b661,1 81 102 81 203 81 304 81 405 81 506 82 607 82 708 82 809 82 910 82 1011 82 1112 82 1213 82 1314 81 1415 81 1516 81 1617 81 1718 81 1819 81 1920 81 2021 81 2122 80 2223 80 2324 80 2425 80 2526 80 2627 79 2728 79 2829 78 2930 77 3031 77 3132 76 3233 74 3334 73 3435 73 3536 72 3637 71 3738 70 3839 70 3940 69 4041 69 4142 68 4243 68 4344 68 4445 68 4546 67 4647 68 4748 68 4849 68 4950 68 5051 68 5152 68 5253 68 5354 68 5455 68 5556 68 5657 69 5758 69 5859 69 5960 70 6061 70 6162 70 6263 70 6364 71 6465 71 6566 72 6667 72 6768 73 6869 73 6970 74 7071 74 7172 74 7273 75 7374 75 7475 76 7576 76 7677 77 7778 77 7879 78 7980 79 8081 79 8182 80 8283 81 8384 81 8485 82 8586 83 8687 83 8788 84 8889 85 8990 86 9091 86 9192 87 9293 87 9394 88 9495 88 9596 89 9697 89 9798 90 9899 90 10000 90 10101 90
8776ffcaa4,1 32 102 32 203 32 304 33 405 33 506 34 607 34 708 35 809 35 910 36 1011 36 1112 37 1213 37 1314 38 1415 39 1516 40 1617 40 1718 41 1819 43 1920 44 2021 46 2122 48 2223 50 2324 53 2425 56 2526 60 2627 66 2728 73 2829 78 2930 85 3031 89 3132 94 3233 6969
8779738220,5152 3 5253 6 5354 10 5455 15 5556 17 5657 19 5758 23 5859 25 5960 27 6061 28 6162 29 6263 30 6364 31 6465 31 6566 32 6667 33 6768 34 6869 35 6970 37 7071 38 7172 39 7273 41 7374 42 7475 43 7576 43 7677 43 7778 44 7879 44 7980 45 8081 45 8182 45 8283 45 8384 45 8485 45 8586 45 8687 45 8788 45 8889 44 8990 44 9091 43 9192 43 9293 42 9394 41 9495 40 9596 40 9697 39 9798 38 9899 38 10000 38 10101 38
87804706f0,4849 6 4950 13 5051 18 5152 25 5253 35 5354 46 5455 54 5556 61 5657 70 5758 76 5859 81 5960 87 6061 94 6162 4040
87807623b6,1 87 102 88 203 88 304 89 405 89 506 89 607 90 708 90 809 90 910 91 1011 91 1112 91 1213 91 1314 91 1415 91 1516 91 1617 91 1718 91 1819 90 1920 89 2021 88 2122 87 2223 86 2324 86 2425 86 2526 86 2627 86 2728 86 2829 86 2930 86 3031 86 3132 86 3233 86 3334 86 3435 86 3536 86 3637 86 3738 86 3839 86 3940 87 4041 88 4142 89 4243 89 4344 90 4445 89 4546 88 4647 87 4748 85 4849 82 4950 79 5051 77 5152 76 5253 75 5354 73 5455 72 5556 70 5657 69 5758 68 5859 68 5960 67 6061 66 6162 65 6263 64 6364 63 6465 63 6566 63 6667 63 6768 63 6869 63 6970 63 7071 63 7172 62 7273 62 7374 62 7475 62 7576 61 7677 60 7778 59 7879 57 7980 56 8081 56 8182 55 8283 54 8384 53 8485 52 8586 51 8687 49 8788 47 8889 44 8990 40 9091 36 9192 34 9293 31 9394 28 9495 26 9596 23 9697 18 9798 14 9899 8 10000 5 10101 4
8782cc7732,
878338aa59,1 30 102 30 203 30 304 30 405 31 506 31 607 31 708 31 809 31 910 32 1011 32 1112 32 1213 32 1314 33 1415 33 1516 33 1617 33 1718 34 1819 34 1920 34 2021 34 2122 34 2223 35 2324 35 2425 35 2526 35 2627 35 2728 35 2829 36 2930 36 3031 36 3132 36 3233 36 3334 35 3435 35 3536 35 3637 35 3738 35 3839 35 3940 35 4041 35 4142 35 4243 35 4344 35 4445 35 4546 35 4647 36 4748 36 4849 36 4950 37 5051 37 5152 37 5253 38 5354 38 5455 38 5556 39 5657 39 5758 39 5859 40 5960 40 6061 40 6162 41 6263 41 6364 41 6465 40 6566 40 6667 40 6768 40 6869 40 6970 40 7071 39 7172 39 7273 39 7374 39 7475 39 7576 39 7677 39 7778 39 7879 39 7980 39 8081 38 8182 38 8283 38 8384 38 8485 38 8586 37 8687 37 8788 37 8889 37 8990 37 9091 37 9192 37 9293 37 9394 37 9495 36 9596 36 9697 36 9798 36 9899 35 10000 35 10101 35
8784d75f0e,1 92 102 90 203 87 304 84 405 80 506 70 607 64 708 60 809 55 910 51 1011 49 1112 47 1213 45 1314 43 1415 41 1516 39 1617 37 1718 34 1819 32 1920 30 2021 27 2122 23 2223 19 2324 15 2425 10 2526 6
878c50521d,
878d489fa1,
87906e4144,
8795906a9d,4 98 105 98 206 98 307 98 409 97 510 97 611 97 712 97 814 96 915 96 1016 96 1118 95 1219 95 1320 95 1421 95 1522 95 1623 95 1724 95 1825 95 1926 95 2028 94 2129 94 2230 94 2331 94 2431 95 2532 95 2632 96 2732 97 2832 98 2932 99 3032 100 3133 2019 5153 100 5256 98 5359 96 5462 94 5566 91 5670 88 5777 82 5886 63 5994 44 6109 2 6119 4
4c2c29b221,1011 3 1112 5 1213 6 1314 8 1415 9 1516 10 1617 11 1718 12 1819 13 1920 15 2021 16 2122 17 2223 18 2324 21 2425 23 2526 25 2627 28 2728 31 2829 33 2930 35 3031 37 3132 38 3233 40 3334 42 3435 43 3536 45 3637 48 3738 50 3839 51 3940 52 4041 53 4142 54 4243 55 4344 56 4445 56 4546 57 4647 58 4748 59 4849 60 4950 61 5051 61 5152 63 5253 64 5354 65 5455 67 5556 68 5657 71 5758 72 5859 74 5960 75 6061 76 6162 77 6263 79 6364 82 6465 85 6566 87 6667 88 6768 90 6869 91 6970 91 7071 92 7172 92 7273 92 7374 93 7475 93 7576 93 7677 93 7778 94 7879 94 7980 95 8081 95 8182 97 8283 98 8384 1818
4c2eb1cd66,1 35 102 35 203 35 304 35 405 35 506 35 607 35 708 35 809 35 910 34 1011 34 1112 34 1213 34 1314 33 1415 33 1516 33 1617 32 1718 32 1819 31 1920 31 2021 30 2122 30 2223 29 2324 29 2425 28 2526 27 2627 27 2728 26 2829 26 2930 25 3031 25 3132 24 3233 23 3334 22 3435 21 3536 20 3637 19 3738 18 3839 17 3940 17 4041 16 4142 15 4243 14 4344 13 4445 12 4546 11 4647 10 4748 9 4849 8 4950 6 5051 4 5152 2 6566 2 6667 5 6768 7 6869 9 6970 11 7071 12 7172 13 7273 14 7374 15 7475 15 7576 15 7677 15 7778 15 7879 14 7980 14 8081 13 8182 13 8283 12 8384 11 8485 10 8586 10 8687 9 8788 8 8889 7 8990 5 9091 4 9192 2
4c33b2dd89,
4c38a9702e,1 38 102 38 203 38 304 38 405 38 506 38 607 38 708 38 809 38 910 38 1011 39 1112 39 1213 39 1314 39 1415 39 1516 39 1617 39 1718 39 1819 39 1920 39 2021 39 2122 39 2223 39 2324 38 2425 38 2526 38 2627 38 2728 38 2829 38 2930 38 3031 37 3132 37 3233 36 3334 36 3435 35 3536 35 3637 34 3738 33 3839 32 3940 31 4041 30 4142 29 4243 28 4344 27 4445 27 4546 26 4647 25 4748 24 4849 24 4950 23 5051 22 5152 21 5253 20 5354 19 5455 18 5556 17 5657 16 5758 15 5859 14 5960 13 6061 12 6162 11 6263 10 6364 10 6465 9 6566 8 6667 8 6768 7 6869 7 6970 6 7071 6 7172 6 7273 5 7374 5 7475 4 7576 3 7677 3 7778 3 7879 2 7980 2 8081 2 8182 1 8283 1
4c3a64cb0c,
4c407be403,1 403 405 99 506 99 607 98 708 98 809 97 910 96 1011 96 1112 96 1213 95 1314 95 1415 95 1516 94 1617 94 1718 93 1819 92 1920 91 2021 91 2122 90 2223 89 2324 88 2425 87 2526 86 2627 85 2728 84 2829 83 2930 83 3031 82 3132 81 3233 80 3334 79 3435 78 3536 77 3637 77 3738 76 3839 75 3940 74 4041 73 4142 73 4243 72 4344 71 4445 70 4546 69 4647 68 4748 67 4849 66 4950 65 5051 64 5152 63 5253 62 5354 60 5455 59 5556 58 5657 57 5758 56 5859 55 5960 54 6061 52 6162 51 6263 50 6364 49 6465 47 6566 46 6667 44 6768 42 6869 41 6970 40 7071 39 7172 37 7273 36 7374 35 7475 34 7576 34 7677 33 7778 32 7879 31 7980 30 8081 29 8182 27 8283 26 8384 25 8485 24 8586 22 8687 21 8788 19 8889 18 8990 17 9091 16 9192 15 9293 15 9394 14 9495 13 9596 13 9697 13 9798 12 9899 12 10000 12 10101 12
4c429ee782,6534 1 6634 3 6734 4 6834 5 6934 6 7034 7 7134 7 7235 7 7335 8 7436 8 7536 8 7636 9 7736 10 7837 9 7937 10 8038 9 8139 8 8239 9 8340 8 8441 7 8542 7 8643 6 8743 7 8844 7 8945 7 9046 7 9147 7 9248 8 9349 8 9449 9 9550 10 9651 10 9752 10 9853 10 9954 11 10055 12 10156 12
4c43b24562,1 10201
4c445e5206,51 51 152 51 253 51 354 51 456 50 558 49 659 49 761 48 862 48 964 47 1066 46 1168 45 1271 43 1373 42 1476 40 1578 39 1680 38 1781 38 1882 38 1983 38 2085 37 2186 37 2288 36 2391 34 2493 33 2596 31 2698 30 2800 29 2902 28 3004 27 3106 26 3208 25 3310 24 3412 23 3514 22 3616 21 3718 20 3819 20 3921 19 4023 18 4124 18 4226 17 4327 17 4428 17 4528 18 4629 18 4731 17 4833 16 4935 15 5038 13 5140 12 5243 10 5346 8 5449 6 5553 3
4c48b962ff,1 49 102 49 203 50 304 50 405 51 506 51 607 52 708 52 809 52 910 52 1011 53 1112 53 1213 53 1314 53 1415 53 1516 53 1617 53 1718 53 1819 53 1920 53 2021 53 2122 53 2223 53 2324 52 2425 52 2526 52 2627 52 2728 52 2829 52 2930 52 3031 51 3132 51 3233 50 3334 50 3435 49 3536 49 3637 48 3738 47 3839 47 3940 46 4041 45 4142 44 4243 43 4344 42 4445 41 4546 40 4647 38 4748 35 4849 32 4950 26 5051 19 5152 16 5253 13 5354 11 5455 9 5556 7 5657 5 5758 4 5859 3 5960 1
4c4991aaa9,
4c4ccb59ed,1 1010 1012 100 1117 96 1221 93 1325 90 1428 88 1532 85 1635 83 1738 81 1841 79 1944 77 2046 76 2148 75 2250 74 2353 72 2457 69 2560 67 2664 64 2768 61 2872 58 2976 55 3081 51 3186 47 3290 44 3395 40 3499 37 3602 35 3705 33 3807 32 3908 32 4010 31 4112 30 4213 30 4315 29 4416 29 4518 28 4619 28 4721 27 4822 27 4923 27 5024 27 5126 26 5227 26 5329 25 5431 24 5534 22 5637 20 5741 17 5845 14 5950 10 6055 6 6159 3
4c4d0194fc,
4c4dbdeaac,1 88 102 88 203 87 304 87 405 87 506 87 607 87 708 87 809 88 910 88 1011 88 1112 88 1213 88 1314 89 1415 89 1516 89 1617 89 1718 90 1819 91 1920 91 2021 92 2122 93 2223 93 2324 94 2425 94 2526 94 2627 95 2728 95 2829 95 2930 95 3031 96 3132 96 3233 96 3334 96 3435 96 3536 96 3637 96 3738 96 3839 95 3940 94 4041 90 4142 85 4243 80 4344 78 4445 76 4546 74 4647 73 4748 72 4849 71 4950 69 5051 67 5152 65 5253 64 5354 62 5455 61 5556 61 5657 60 5758 60 5859 59 5960 59 6061 59 6162 59 6263 58 6364 58 6465 57 6566 55 6667 54 6768 53 6869 52 6970 51 7071 51 7172 50 7273 50 7374 49 7475 49 7576 49 7677 48 7778 48 7879 49 7980 49 8081 49 8182 49 8283 49 8384 49 8485 50 8586 50 8687 51 8788 51 8889 52 8990 52 9091 52 9192 52 9293 52 9394 52 9495 52 9596 52 9697 52 9798 52 9899 51 10000 51 10101 51
4c5482697f,1 8214 8234 5 8241 64 8354 48 8460 42 8586 17 8687 16 8788 16 8889 15 8995 8 9100 1
4c5937c9e2,
4c5ba6aee9,
4c5f25ed11,25 77 126 77 227 77 328 77 429 74 530 71 631 68 732 66 833 65 935 63 1035 63 1136 62 1237 62 1338 61 1439 61 1540 59 1641 57 1742 55 1843 53 1944 51 2045 50 2146 50 2247 49 2348 48 2449 47 2550 45 2651 44 2752 42 2854 40 2956 37 3058 35 3161 32 3264 29 3365 27 3467 25 3570 22 3674 17 3779 10 3885 2
4c64716fa8,1 5454 5459 97 5563 94 5669 89 5774 85 5878 82 5981 80 6084 78 6187 76 6290 74 6394 71 6497 69 6600 67 6703 65 6806 63 6908 62 7011 60 7114 58 7217 56 7320 54 7422 53 7525 51 7628 49 7731 47 7835 44 7939 41 8043 38 8150 32 8255 28 8361 23 8467 18 8580 6
4c67f13454,
4c691b6847,
b58742de47,
b58913573a,1 7878 7883 97 7987 94 8091 91 8195 38 8235 48 8297 24 8340 44 8399 21 8444 41 8502 19 8553 10 8567 19 8605 17 8674 13 8707 16 8779 9 8809 15 8884 5 8919 5 9022 2
b5934d2a3b,
b596f5428a,58 44 159 44 259 45 360 45 460 46 560 47 661 47 761 48 861 49 961 50 1061 51 1162 51 1262 52 1362 53 1463 53 1563 54 1663 55 1764 55 1864 56 1965 56 2066 56 2166 57 2267 57 2368 57 2469 57 2569 58 2670 58 2771 58 2872 58 2972 59 3073 59 3174 59 3275 59 3376 59 3477 59 3578 59 3679 59 3780 59 3881 59 3982 59 4084 58 4185 58 4287 57 4388 57 4489 57 4590 57 4691 57 4792 57 4893 57 4994 57 5094 20 5118 34 5195 18 5220 33 5296 17 5320 34 5397 16 5421 34 5497 16 5520 36 5598 16 5620 37 5698 16 5720 38 5798 17 5820 39 5899 17 5920 40 6000 61 6101 61 6202 61 6303 61 6403 62 6504 62 6605 62 6705 63 6805 64 6905 65 7006 65 7106 66 7207 66 7308 66 7408 67 7509 67 7610 67 7710 68 7811 68 7912 68 8013 68 8114 68 8215 68 8316 68 8417 68 8518 68 8619 68 8720 68 8822 67 8925 65 9028 63 9140 52 9243 50 9345 49 9447 48 9548 48 9650 47 9750 48 9851 48 9952 48 10053 48 10154 48
b5970ee4d5,1 69 102 68 203 68 304 68 405 68 506 67 607 66 708 65 809 65 910 64 1011 64 1112 64 1213 63 1314 63 1415 64 1516 64 1617 64 1718 64 1819 65 1920 65 2021 66 2122 67 2223 68 2324 68 2425 68 2526 69 2627 69 2728 70 2829 70 2930 71 3031 72 3132 73 3233 74 3334 75 3435 75 3536 76 3637 76 3738 77 3839 77 3940 78 4041 79 4142 80 4243 81 4344 81 4445 81 4546 81 4647 82 4748 81 4849 81 4950 81 5051 81 5152 81 5253 81 5354 80 5455 80 5556 80 5657 79 5758 78 5859 77 5960 76 6061 76 6162 76 6263 75 6364 75 6465 75 6566 75 6667 75 6768 76 6869 76 6970 76 7071 76 7172 76 7273 76 7374 75 7475 75 7576 75 7677 74 7778 74 7879 74 7980 74 8081 74 8182 75 8283 75 8384 76 8485 77 8586 77 8687 78 8788 79 8889 79 8990 80 9091 80 9192 81 9293 81 9394 81 9495 82 9596 81 9697 81 9798 81 9899 81 10000 81 10101 80
b5995bbf96,3940 1 4041 2 4142 4 4243 6 4344 8 4445 10 4546 12 4647 13 4748 15 4849 16 4950 18 5051 20 5152 21 5253 22 5354 22 5455 21 5556 21 5657 21 5758 20 5859 20 5960 20 6061 20 6162 20 6263 21 6364 23 6465 25 6566 27 6667 28 6768 29 6869 30 6970 31 7071 31 7172 31 7273 31 7374 31 7475 31 7576 30 7677 30 7778 30 7879 30 7980 30 8081 29 8182 29 8283 29 8384 29 8485 29 8586 30 8687 30 8788 31 8889 32 8990 33 9091 35 9192 37 9293 39 9394 41 9495 43 9596 46 9697 49 9798 51 9899 53 10000 54 10101 55
b59bb4f42b,4995 13 5092 20 5184 31 5276 42 5373 47 5470 51 5564 59 5657 67 5758 68 5859 69 5960 70 6061 70 6162 69 6263 68 6364 68 6465 67 6566 66 6667 66 6768 65 6869 65 6970 65 7071 64 7172 64 7273 66 7374 66 7475 66 7576 66 7677 66 7778 66 7879 66 7980 67 8081 67 8182 68 8283 68 8384 68 8485 67 8586 66 8687 65 8788 63 8889 61 8990 60 9091 59 9192 55 9293 55 9394 56 9495 59 9596 62 9697 71 9798 77 9899 42 9945 32 10000 41 10048 32 10101 41 10151 31
b59cadbfbe,94 8 195 8 296 8 397 8 498 8 599 8 700 8 801 8 903 7 1005 6 1106 6 1208 5 1310 4 1412 3 1514 2 1616 1
b5a137afa4,75 27 174 29 274 30 375 30 479 27 579 28 673 35 771 38 871 39 971 40 1072 40 1172 41 1271 43 1370 45 1470 46 1569 48 1667 51 1761 58 1858 62 1954 67 2042 80 2141 82 2240 84 2338 87 2436 90 2534 93 2629 7573
b5a15d7bf1,
b5a206a00d,
b5a52c35fc,45 57 146 57 248 56 350 55 451 55 553 54 654 54 755 54 856 54 958 53 1059 53 1160 53 1261 53 1363 52 1465 51 1567 50 1669 49 1771 48 1872 48 1974 47 2075 47 2176 47 2277 47 2378 47 2479 47 2579 48 2680 48 2781 48 2882 48 2983 48 3083 49 3184 49 3285 49 3386 49 3487 49 3588 49 3689 49 3790 49 3891 49 3992 49 4093 49 4194 49 4295 49 4395 50 4496 50 4596 51 4697 51 4797 52 4897 53 4997 54 5098 54 5198 55 5299 55 5400 55 5501 55 5603 54 5704 54 5806 53 5907 53 6008 53 6109 53 6211 52 6312 52 6413 52 6514 52 6616 51 6717 51 6818 51 6920 50 7021 50 7123 49 7224 49 7325 49 7426 49 7527 49 7629 48 7730 48 7831 48 7932 48 8034 47 8135 47 8236 41 8338 40 8439 40 8541 39 8643 38 8744 38 8845 39 8947 39 9049 39 9151 40 9252 41 9353 41 9454 41 9556 40 9659 38 9761 37 9863 36 9965 35 10067 34 10169 33
b5a76532d0,1 7888 7890 97 7993 93 8095 91 8197 89 8298 90 8400 89 8506 85 8608 86 8709 87 8810 88 8911 88 9013 89 9115 78 9197 8 9216 77 9299 8 9317 77 9402 7 9417 78 9504 7 9516 80 9605 6 9613 84 9707 4 9715 83 9809 2 9816 83 9910 2 9917 83 10010 3 10018 9 10028 73 10111 3 10120 7 10130 72
b5af74d77f,
b5b511dc06,
b5b762cc9e,
b5b9b37a9b,1 5454 5457 99 5561 96 5664 94 5767 92 5870 90 5973 88 6075 87 6178 85 6280 84 6383 82 6486 80 6589 78 6692 76 6795 74 6899 71 7003 68 7107 65 7212 61 7316 58 7421 54 7525 51 7629 48 7733 45 7836 43 7940 40 8043 38 8147 35 8251 32 8355 29 8461 24 8567 19 8672 15 8779 9 8884 5 8987 3
b5c096003d,1 5957 5960 94 6061 90 6162 85 6263 83 6364 81 6465 79 6566 76 6667 73 6768 71 6869 69 6970 66 7071 64 7172 62 7273 59 7374 57 7475 53 7576 50 7677 47 7778 45 7879 41 7980 37 8081 34 8182 31 8288 16 8394 7
b5c4939835,22 80 122 81 223 81 324 80 425 79 526 79 627 78 729 76 830 75 931 75 1032 74 1132 74 1233 73 1333 74 1433 74 1533 75 1633 75 1733 76 1834 76 1934 77 2035 77 2136 77 2237 77 2338 77 2438 78 2538 79 2638 80 2737 81 2836 83 2936 83 3036 83 3136 84 3236 84 3336 85 3436 86 3536 87 3637 86 3738 86 3839 84 3940 83 4041 82 4142 80 4243 79 4344 78 4445 77 4546 76 4647 75 4748 75 4849 74 4950 74 5051 73 5152 72 5253 70 5354 69 5455 67 5556 66 5657 65 5758 64 5859 63 5960 62 6061 61 6162 60 6263 60 6364 60 6465 60 6566 59 6667 59 6768 59 6869 59 6970 58 7071 58 7172 57 7273 56 7374 56 7475 55 7576 55 7677 54 7778 54 7879 54 7980 53 8081 53 8182 53 8283 53 8384 52 8485 52 8586 51 8687 51 8788 50 8889 50 8990 49 9091 48 9192 47 9293 46 9394 46 9495 45 9596 45 9697 45 9798 44 9899 44 10000 43 10101 42
b5c6caa273,
